school_name,community_name,community_population,distance_km
GEMS New Millennium School ,RAS AL KHOR IND. FIRST,2550,91.9906890949299
Foremarke School,OUD AL MUTEEN SECOND ,5506,35.426187929659555
New Indian Model School,AL GOZE IND. FOURTH ,38079,48.162945612209256
Horizon International Schoool,REMAH,232,128.17486900166872
Latifa School for Girls,HESSYAN SECOND,45,73.71142570787156
International School of Arts and Sciences,JUMEIRA SECOND,10079,13.293632797026612
Foremarke School,AL KHAWANEEJ TWO,4523,39.78539351055222
Ambassador School,AL KIFAF,2,32.3391765500854
GEMS Dubai American Academy,JUMEIRA THIRD,13417,11.889487423016309
GEMS New Millennium School ,UM HURAIR FIRST,5856,39.1854458003779
Al Ameen Private School,BU KADRA,16,69.08237502177994
Philadelphia Private School,WORLD ISLANDS,7,15.573852633465307
Bradenton Preparatory Academy,NAIF,50090,25.823445233529377
Nord Anglia International School Dubai,AL HAMRIYA,36738,45.89121319335401
Sabari Indian School ,SAIH SHUAIB 4,11170,65.62561376159229
