school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,nearest_metro_station,nearest_metro_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,metro_within_1km,metro_within_2km,metro_within_5km,accessibility_score
The Oxford School,Al Muhaisnah,25.281228,55.402192,FS1-G12,2128.0,1988.0,UK,The Oxford School,General Practice,0.028953800618027263,Al Qusais,2.540238816434383,17,32,163,0,0,60,1.535724810107841
The Philippine School,Al Twar,25.244733,55.393747,KG1-G10,1975.0,2008.0,Philippine,Deira Pvt School,General Practice,0.4755733410576671,Etisalat,1.336957120645766,2,8,205,0,20,90,0.9924036088105264
Sheikh Rashid Bin Saeed Islamic Institute,Al Satwa,25.215886,55.269667,G6-G12,120.0,2003.0,MOE,Morfologie Slim Bods Slimming Therapy Center,Massage - Physiotherapy,0.33189705163767524,Financial Centre,0.8038579863972274,41,211,525,10,40,70,0.6150736124934065
The School of Research Science,Al Qusais,25.20083,55.439205,FS1-G12,2699.0,2003.0,UK,The School Of Research Science,General Practice,0.08261922116671208,Rashidiya,5.831450569238346,2,7,103,0,0,0,3.531918030009692
The Sheffield Private School,Al Qusais,25.293372,55.385719,FS1-G11,1643.0,2004.0,UK,Sheffield Private School,General Practice,0.026844522059874202,Al Nahda,2.7760033181177826,15,57,166,0,0,70,1.676339799694619
The Westminster School,Al Qusais,25.283053,55.370633,KG1-G12,5034.0,1988.0,UK,The Westminster School(Br Of Gems Wellington Academy FZE) Dubai Branch,General Practice,0.027349074094185608,Stadium,1.0814112439102201,36,98,241,0,40,120,0.6597863759838063
The Winchester School,Jebel Ali,25.040094,55.120922,FS1-G12,3617.0,2003.0,UK,The Winchester School,General Practice,0.05624510032045634,Ibn Battuta,0.8128429412575223,11,24,121,10,20,80,0.5102038048826959
Towheed Iranian School for Boys,Al Quoz,25.170393,55.262097,KG1-G12,798.0,1958.0,Iranian,Our Own Indian School. School Clinic,General Practice,0.187287569910717,Business Bay,2.328060504262284,8,63,392,0,0,40,1.4717513305216572
Towheed Iranian School for Girls,Al Karama,25.252983,55.306842,G1-G12,279.0,1958.0,Iranian,Iranian Towheed Girls School,Nursing,0.03227562509470368,BurJuman,0.3334370678640572,65,189,663,10,60,220,0.21297249075631577
United International Private School,Al Muhaisnah,25.277289,55.408747,KG1-G10,1829.0,1992.0,Philippine,United International Pvt. School,Nursing,0.056492760213269225,Etisalat,2.618441142614728,11,24,160,0,0,50,1.5936617896541443
Universal American School,Ras Al Khor,25.221422,55.365489,KG1-G12,1402.0,2005.0,US/IB,Universal American School-Dubai Festival City,General Practice,0.17290738260219932,Emirates,2.183707592281099,2,21,235,0,0,80,1.379387508409539
Uptown School,Mirdif,25.210243,55.423257,KG1-G10,1222.0,2012.0,IB,UPTOWN INTERNATIONAL SCHOOL (BR OF TAALEEM MANAGEMENT(LLC)),General Practice,0.16750831511094963,Rashidiya,3.9161609460780653,6,30,130,0,0,10,2.4166998936912187
Delhi Private School Academy,Dubai Academic City,25.105576,55.402396,KG1-G7,321.0,2013.0,Indian(ICSE),German International School Dubai,Internal Medicine,0.26059104317982373,Rashidiya,13.905844364197685,4,23,63,0,0,0,8.44774303579054
GEMS New Millennium School ,Al Khail ,25.123782,55.257187,KG1-G7,839.0,2013.0,Indian(CBSE),Gems New Millennium School Alkhail,General Practice,0.0379442227785718,Noor Bank,4.5772636213159466,4,14,108,0,0,20,2.7615358619009966
Sabari Indian School ,Al Waheda,25.289783,55.341133,KG1-G6,437.0,2013.0,Indian(CBSE),Sabari Indian School LLC,General Practice,0.036844600360856836,Abu Hail,1.6973459316245176,7,43,340,0,20,140,1.0331453991190533
Springdales School,Al Quoz,25.149543,55.253366,KG2-G8,899.0,2013.0,Indian(CBSE),Springdales School LLC,General Practice,0.02737672201989968,Noor Bank,2.594694941960467,20,36,347,0,0,20,1.56776765398424
Victory Heights Primary School,Dubai Sports City,25.035148,55.222489,FS1-G5,515.0,2013.0,UK,Victory Heights Primary School,General Practice,0.053523442079386196,Station R73,6.262998449066307,9,34,85,0,0,0,3.7792084462715385
Foremarke School,Dubailand,25.079423,55.242616,FS1-G3,191.0,2013.0,UK,REPTON AL BARSHA FZ-LLC ,Nursing,0.06253257161651567,Mall of the Emirates,6.296449923176924,5,16,99,0,0,0,3.802882982552761
International Concept for Education,Meydan,25.153909,55.298824,KG1-G2,159.0,2013.0,French/IB,International Concept Education - School Clinic,General Practice,0.11369306195034537,Business Bay,5.6745507423633255,2,2,70,0,0,0,3.4502076701981332
